
=============================================================
   text	   data	    bss	    dec	    hex	filename
      0	      0	      0	      0	      0	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/vector/8721dlp_vectors.o
      0	      0	      0	      0	      0	(TOTALS)
=============================================================
   text	   data	    bss	    dec	    hex	filename
   1526	     81	      0	   1607	    647	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_flashclk_rom.o
    200	      0	      0	    200	     c8	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_clk_rom.o
    419	      0	      0	    419	    1a3	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_rcc_rom.o
   1796	      8	      0	   1804	    70c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_boot_rom.o
    124	      0	      0	    124	     7c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_syscfg_rom.o
   1840	    448	      0	   2288	    8f0	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/rtl8721dlp_vector_rom.o
    100	      4	      0	    104	     68	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_delay_rom.o
    986	      0	      0	    986	    3da	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_uart_rom.o
    780	      4	      0	    784	    310	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_mpu_rom.o
   2581	      0	      0	   2581	    a15	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_efuse_rom.o
    205	      0	      0	    205	     cd	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_backup_reg.o
    536	    256	      0	    792	    318	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_ipc_rom.o
    354	      0	      0	    354	    162	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_otf_rom.o
   2051	      0	      0	   2051	    803	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_tim_rom.o
     56	      0	      0	     56	     38	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_simulation_rom.o
     85	      0	      0	     85	     55	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_assert_rom.o
   2369	    104	      0	   2473	    9a9	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_flash_rom.o
      0	      0	      0	      0	      0	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_cache_rom.o
    431	      0	      0	    431	    1af	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_pinmux_rom.o
   2329	     19	      0	   2348	    92c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_gdma_rom.o
    140	      0	      0	    140	     8c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_systimer_rom.o
    470	      0	      0	    470	    1d6	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_loguart_rom.o
    826	    520	      0	   1346	    542	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/fwlib/rom_lp/../rom_common/rtl8721d_gpio_rom.o
  20204	   1444	      0	  21648	   5490	(TOTALS)
=============================================================
   text	   data	    bss	    dec	    hex	filename
   4215	     96	      0	   4311	   10d7	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/app/monitor/rom/monitor_rom.o
    939	    232	      0	   1171	    493	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/app/monitor/rom/shell_rom.o
   5154	    328	      0	   5482	   156a	(TOTALS)
=============================================================
   text	   data	    bss	    dec	    hex	filename
   2097	     12	      0	   2109	    83d	xmodem_rom.o
    623	      4	      0	    627	    273	xmodem_uart_rom.o
    191	      0	      0	    191	     bf	xmodem_update_rom.o
   2911	     16	      0	   2927	    b6f	(TOTALS)
=============================================================
   text	   data	    bss	    dec	    hex	filename
   1917	     28	      0	   1945	    799	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/diag.o
    132	      0	      0	    132	     84	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/memset.o
   1345	      0	      0	   1345	    541	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/sscanf.o
    252	     24	      0	    276	    114	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/rand.o
    128	      0	      0	    128	     80	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/memcpy.o
     76	      0	      0	     76	     4c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/memcmp.o
    128	      0	      0	    128	     80	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/memchr.o
    156	      0	      0	    156	     9c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/memmove.o
     80	      0	      0	     80	     50	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strcat.o
    100	      0	      0	    100	     64	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strncat.o
    216	      0	      0	    216	     d8	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strchr.o
     96	      0	      0	     96	     60	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strcmp.o
    140	      0	      0	    140	     8c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strncmp.o
    100	      0	      0	    100	     64	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strlen.o
     72	      0	      0	     72	     48	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strcpy.o
